OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,POSSIBLE_CAUSES,SUGGESTION
AGV_NODE,1,1,AlreadyHaveCmd,AGV已有命令所以不接受 AGVC 新的命令,"1.等待AGV把命令做完
2.切到手動終止現有命令, 在切回自動重新接AGVC命令"
AGV_NODE,2,1,LowPowerCharging,AGV電量在低水位所以不接受 AGVC 的搬送命令,"1.開回充電站進行充電，然後清除異常後，確認AGVC命令，進行復歸重新上線
2.電池百分比是否有異常
3.AGVC百分比設定確認"
AGV_NODE,3,1,LoadingOff,AGV 在取貨命令結束時 Loading sensor 顯示無貨,"1.確定站點上是否有貨
2.確認荷有sensor有照到貨物
3.確認荷有sensor正常運作"
AGV_NODE,4,1,CarrierIdReadFail,AGV 讀取 CstId 失敗,"1.確定 BL-1301 位置是否可以讀取
2.開啟 Keyence 確認裝置是否正常讀取(調整照射角度)"
AGV_NODE,5,1,CarrierIdIsError,AGV 讀取 CstId 錯誤,"1.確定 BL-1301 位置是否可以讀取
2.開啟 Keyence 確認裝置是否正常讀取(調整照射角度)
3.確認 Cst 上面條碼是否損毀"
AGV_NODE,6,1,MoveFinishFail,"1.找不到車子定位
2.移動發生偏差","1.查看Log (MoveControl)
2.觀察SR2000是否正常運作。
3.查看Log (扭力值,速度值)
4.檢修輪子機構
5.重新調整馬達 Gain 值"
AGV_NODE,7,1,LoadingOn,AGV 在放貨命令結束時 Loading sensor 顯示有貨,"1.確定台車上是否有貨
2.確認荷有sensor狀態"
AGV_NODE,8,1,ForkCommandExist,放貨前Fork有上一筆命令未完成,"1.查看Log (Comm, Debug)"
AGV_NODE,9,1,VehicleCannotUnload,車子不在放貨位置，無法做放貨動作,"1.確認命令目的地位置是否為放貨站
2.確認地圖圖資取貨站設定"
AGV_NODE,10,1,ForkCommandExist,取貨前Fork有上一筆命令未完成,"1.查看Log (Comm, Debug)"
AGV_NODE,11,1,PositionLostWithCmd,AGV不在引導路徑,"1.查看Log (Comm, Debug)
2.確認AGVC下達路徑跟AGV所在位置必須有關連性"
AGV_NODE,12,1,ChargeDirectionError,AGV 充電站點設定錯誤,"1.確認 Address.csv 充電站站點設定
2.先移動到某站點上，再開回充電站，然後進行復歸重新上線。"
AGV_NODE,13,1,StartChargeTimeout,AGV 充電命令 timeout,1.確認 PLC 交握命令
AGV_NODE,14,2,StopChargeTimeout,AGV 充斷電命令 timeout,1.確認 PLC 交握命令
AGV_NODE,15,1,VehicleCannotload,AGV 取放貨站點設定錯誤,"1.確認命令目的地位置是否為放貨站
2.確認地圖圖資取貨站設定"
AGV_NODE,16,1,AlreadyHaveCst,AGV 車上已有 Cst 所以不能執行取貨命令,
AGV_NODE,17,1,NoCstToUnload,AGV 車上沒有 Cst 所以不能執行放貨命令,
AGV_NODE,18,1,MapCheckFail,AGV 圖資異常,1.確認圖資檔案 (Address.csv & Asection.csv)
AGV_NODE,19,1,IsNotTransferCannotOverride,AGV 在沒有命令的情況下收到 AGVC Override 命令,
AGV_NODE,20,1,IsNotMoveStepCannotOverride,AGV 在不是移動命令的情況下收到 AGVC Override 命令,
AGV_NODE,21,1,IsNotPauseCannotOverride,AGV 在不是 Pause 的情況下收到 AGVC Override 命令,
AGV_NODE,22,1,OverrideUnloadAddressUnmatch,AGV的放貨位置與AGVC 放貨位址不匹配,
AGV_NODE,23,1,OverrideLoadAddressUnmatch,AGV的取貨位置與AGVC 放貨位址不匹配,
AGV_NODE,24,1,OverrideToUnloadIsEmpty,AGVC路徑清單放貨段為空,
AGV_NODE,25,1,OverrideToLoadIsEmpty,AGVC路徑清單取貨段為空,
AGV_NODE,26,1,CheckOverrideException,AGV 異常發生在override-check,
AGV_NODE,27,2,AGV is not  on Auto Status,"AGV W0A00 != 1
可能原因為:
1. 人機沒有切回自動
2. Sensor 異常
3. etc…","1.確認台車要處於 AGV 自動狀態
2.W0A00必須要處於 On的狀態 (確認相關 Sensor 正常)"
AGV_NODE,28,1,CarrierIdMisMatch,AGV移載ID匹配失誤,
AGV_NODE,29,1,IsCarrierIdReadReplyTimeout,AGV讀取CST超時,"1.確認AGV車內有 CST
2.確認 Keyence 裝置正常"
AGV_NODE,30,1,VehicleHasAlarm,車輛有Alram無法執行轉換命令,
AGV_NODE,31,1,ManualToAutoFail,MoveControl狀態為非閒置狀態無法切換到自動模式。,
AGV_NODE,32,1,ManualToAutoFail,實際位置為空，無法切換到自動模式。,
AGV_NODE,33,1,IsNotTransferCannotAvoid,車輛未在轉換中拒絕迴避,
AGV_NODE,34,1,IsNotMoveStepCannotAvoid,車輛不處於移動步驟，拒絕迴避。,
AGV_NODE,35,1,IsNotPauseCannotAvoid,車輛不會因後備拒絕而暫停行駛。,
AGV_NODE,36,1,CheckAvoidException,避免檢查中發生異常。,
AGV_NODE,37,2,AgvcCallEms,AGVC下EMS,1.查看 AGVC 狀態 
AGV_NODE,38,1,InterlockError,當loadunload和retry count = 0時發生互鎖錯誤。,
AGV_NODE,39,2,PositionError,"AGV進行台車補正確認時, 如果手臂補正通知 Fail, 則會發此警告",
AGV_NODE,40,1,SendWaitTimeout,發送等待超時,
AGV_NODE,100000,2,MoveControl Exception,MoveControl主Thread(線)跳Exception,"1.查看Log ( Motion, MoveControl)
2.聯絡Mirle"
AGV_NODE,100001,1,Send PLC to Stop AGV,"通知PLC斷電
1.台車要求斷284V","1.查看Log ( Motion, MoveControl)
2.確認 Elmo 連線是否可以正常連線, 如果不行請確認網路線及 Elmo 控制器及驅動器"
AGV_NODE,100002,2,Command out of trigger range,"超過觸發區間
1.送出移動命令時台車不在預定的位置","1.確認地上Barcode狀況(是否有損毀, 變形, 移動狀況發生)
2.查看Log ( Motion, MoveControl)
3.查看扭力值變化是否異常(旋轉軸走行軸), 並根據根據異常扭力檢修輪子"
